segment,block,n_tx,gas_used,serial_ms,serial_tps,occ1_ms,occ1_tps,occ1_aborts,occ1_abort_rate,occ1_reexec_frac,occ8_ms,occ8_tps,occ8_aborts,occ8_abort_rate,occ8_evm_entries,occ8_reexec_frac,occ8_max_inc,occ8_txs_with_abort,dag_n_raw,dag_n_waw,longest_chain,independent_frac,max_wave_width,multi_writer_locs,max_conflict_component,raw_total,raw_program,raw_handler,program_frac,mean_producer_lag,median_producer_lag,p90_producer_lag,longest_program_raw_chain,mean_cross_tx_read_frac,frac_txs_with_program_raw,mean_reads,mean_writes
A,14689595,23,2610798,1.241,18536.6,1.643,13996.3,0,0.0000,0.0000,1.323,17385.0,8,0.3478,36,0.3611,2,9,10,12,5,0.5652,14,4,10,10,10,0,1.0000,11.70,11.00,18.00,2,0.1667,0.2609,15.304,6.565
A,14689596,31,4978248,1.324,23414.6,1.992,15564.2,0,0.0000,0.0000,1.668,18587.7,16,0.5161,72,0.5694,7,12,1,40,10,0.4516,17,6,10,1,1,0,1.0000,1.00,1.00,1.00,2,0.1111,0.0323,19.677,9.548
A,14689597,564,30028257,4.580,123138.5,8.331,67701.2,0,0.0000,0.0000,4.661,121003.0,60,0.1064,1603,0.6482,8,468,449,144,29,0.1011,434,24,475,449,449,0,1.0000,270.41,267.00,472.00,2,0.1430,0.7961,8.005,2.878
A,14689598,111,6014758,2.200,50456.8,3.326,33377.5,0,0.0000,0.0000,2.156,51491.2,7,0.0631,130,0.1462,2,15,7,31,8,0.5946,77,13,10,7,6,1,0.8571,25.29,3.00,66.00,2,0.1619,0.0541,8.946,3.315
A,14689599,43,1607929,0.173,248763.4,0.443,97101.0,0,0.0000,0.0000,0.531,81004.2,0,0.0000,44,0.0227,1,1,0,1,2,0.9535,42,1,2,0,0,0,0.0000,0.00,0.00,0.00,0,0.0000,0.0000,6.256,2.349
B,19606597,124,11111777,6.686,18547.6,8.433,14703.3,0,0.0000,0.0000,7.527,16475.0,44,0.3548,353,0.6487,6,44,11,72,32,0.5806,78,31,45,11,1,10,0.0909,5.00,2.00,11.00,2,0.0528,0.0081,18.234,6.105
B,19606598,91,5158128,2.002,45444.7,3.088,29471.6,0,0.0000,0.0000,1.447,62874.0,10,0.1099,119,0.2353,3,21,3,13,6,0.8022,80,10,6,3,0,3,0.0000,31.33,40.00,43.00,1,0.0330,0.0000,9.846,4.604
B,19606599,367,29981684,20.006,18344.9,23.113,15878.3,0,0.0000,0.0000,13.906,26391.5,88,0.2398,679,0.4595,9,90,42,177,57,0.6431,261,87,79,42,22,20,0.5238,79.21,11.00,184.00,2,0.0508,0.0245,15.629,5.030
B,19606600,237,22095693,17.337,13670.0,18.612,12733.7,0,0.0000,0.0000,8.131,29147.7,58,0.2447,7154,0.9669,9,71,26,148,47,0.5865,156,68,66,26,8,18,0.3077,15.31,4.00,57.00,2,0.0399,0.0295,17.186,5.616
C,19469096,250,11074601,4.675,53474.2,6.178,40465.8,0,0.0000,0.0000,3.210,77870.5,119,0.4760,717,0.6513,7,137,6,172,132,0.3360,92,23,132,6,2,4,0.3333,63.33,8.00,188.00,2,0.0295,0.0080,8.604,4.340
C,19469097,336,22901234,10.060,33401.2,12.297,27324.2,0,0.0000,0.0000,6.086,55213.0,147,0.4375,678,0.5044,7,124,28,183,47,0.5357,196,54,51,28,16,12,0.5714,83.04,10.00,229.00,4,0.0478,0.0268,11.396,4.851
C,19469098,268,12378273,5.281,50744.3,5.922,45258.3,0,0.0000,0.0000,3.638,73658.5,68,0.2537,433,0.3811,7,65,5,83,26,0.6903,195,23,26,5,2,3,0.4000,35.20,10.00,104.00,2,0.0274,0.0075,7.623,4.194
C,19469099,257,20631408,11.155,23038.5,11.101,23151.3,0,0.0000,0.0000,5.065,50735.9,60,0.2335,415,0.3807,5,66,14,111,29,0.6381,175,33,39,14,6,8,0.4286,27.29,5.00,74.00,2,0.0521,0.0195,12.708,6.198
