seg,block,n_tx,occ1_tps,occ8_tps,occ8_abort,n_raw_effect,n_prog,n_hand,n_final_rw,unique_pcl,mean_eff_per_pcl,depth_p10,depth_p50,depth_p90,frac_lt_1pct,redo_saved,wait_added,eff_prog_path,final_rw_chain,fanout
A,14689595,23,7888.3,16416.0,0.3043,26,22,4,10,26,1.000,0.18182,0.60000,0.60000,0.0000,4.18,2.72,5,5,6
A,14689596,31,13479.5,18577.7,0.2903,41,37,4,1,41,1.000,0.18182,0.18182,0.21429,0.0000,2.59,0.50,10,10,1
A,14689597,564,71114.3,68569.7,0.1277,593,551,42,449,593,1.000,0.85714,0.85714,0.85714,0.0000,391.15,107.67,27,29,448
A,14689598,111,31954.8,47214.9,0.0721,37,6,31,7,37,1.000,0.80000,0.88889,0.88889,0.0000,5.07,0.69,2,8,3
A,14689599,43,94895.7,47041.0,0.0000,1,0,1,0,1,1.000,0.00000,0.00000,0.00000,0.0000,0.00,0.00,1,2,0
B,19606597,124,15743.3,20005.2,0.3468,82,31,51,11,82,1.000,0.22222,0.35294,0.68293,0.0000,2.99,0.15,3,32,4
B,19606598,91,30915.0,56865.3,0.0769,18,6,12,3,18,1.000,0.13131,0.83333,0.83333,0.0000,2.49,0.08,3,6,1
B,19606599,367,14708.7,26869.6,0.2779,218,105,113,42,218,1.000,0.27778,0.59259,0.90909,0.0000,25.54,2.76,7,57,3
B,19606600,237,11255.7,21936.8,0.2616,175,84,91,26,175,1.000,0.27586,0.48780,0.80000,0.0000,15.29,0.99,7,47,4
C,19469096,250,39322.5,49243.8,0.5880,176,157,19,6,176,1.000,0.83333,0.83333,0.83333,0.0000,116.94,0.40,132,132,2
C,19469097,336,23657.6,48557.9,0.2798,209,154,55,28,209,1.000,0.45763,0.77778,0.83333,0.0000,78.89,3.96,47,47,4
C,19469098,268,37254.8,54758.6,0.1716,84,50,34,5,84,1.000,0.51429,0.83333,0.83333,0.0000,30.26,0.94,26,26,2
C,19469099,257,20025.7,36348.8,0.2412,125,73,52,14,125,1.000,0.45455,0.78261,0.83333,0.0000,32.40,1.48,16,29,4
